name	is_builtin	categoly
bm25	0	
current_date	1	
current_time	1	
current_timestamp	1	
edit	0	
fts3_tokenizer	0	
fts5	0	
fts5_decode	0	
fts5_decode_none	0	
fts5_expr	0	
fts5_expr_tcl	0	
fts5_fold	0	
fts5_isalnum	0	
fts5_rowid	0	
fts5_source_id	0	
geopoly_area	0	
geopoly_bbox	0	
geopoly_blob	0	
geopoly_ccw	0	
geopoly_contains_point	0	
geopoly_debug	0	
geopoly_group_bbox	0	
geopoly_json	0	
geopoly_overlap	0	
geopoly_regular	0	
geopoly_svg	0	
geopoly_within	0	
geopoly_xform	0	
highlight	0	
icu_load_collation	0	
json	0	
json_array	0	
json_array_length	0	
json_extract	0	
json_group_array	0	
json_group_object	0	
json_insert	0	
json_object	0	
json_patch	0	
json_quote	0	
json_remove	0	
json_replace	0	
json_set	0	
json_type	0	
json_valid	0	
lsmode	0	
match	0	
matchinfo	0	
offsets	0	
optimize	0	
readfile	0	
regexp	0	
rtreecheck	0	
rtreedepth	0	
rtreenode	0	
sha3	0	
sha3_query	0	
shell_add_schema	0	
shell_escape_crnl	0	
shell_int32	0	
shell_module_schema	0	
shell_putsnl	0	
snippet	0	
sqlar_compress	0	
sqlar_uncompress	0	
sqlite_log	1	
unknown	1	
writefile	0	
zipfile	0	
zipfile_cds	0	
